DIETS,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,motile_epifauna,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton
transient_killers,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toothed_whales,0.02615505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray_whales,0.05383285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baleen_whales,0.8370397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinnipeds,0.02606792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walrus_bd_seals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_juv,0.003140365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_adu,0.05376409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice_seals,,,,,,0.001017812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oth_birds,,,,,,,,,,,,,,7.99E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
murres_puffins,,,,,,,,,,,,,,0.001048393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kittiwakes,,,,,,,,,,,,,,8.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auklets,,,,,,,,,,,,,,0.000213437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fulmars,,,,,,,,,,,,,,6.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albatross,,,,,,,,,,,,,,1.22E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharks,,0.000239884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollock_juv,,0.1591406,,0.07921984,0.0156814,,0.3051882,0.3051882,0.05246551,0.005930663,0.2614391,0.2232361,0.002550183,0.2927758,0.1729958,,0.009778797,0.044069,0.006682734,0.02866408,,0.2185271,0.4691474,0.5751931,0.01199148,0.2714976,,0.0190125,0.00871723,0.1332049,0.000808508,,0.02682826,0.001419216,,0.000013787,,,,,,,,2.44E-05,0.09529792,,,,,,,,,,,,,,,,,7.73E-05,,,,,,,
pollock_adu,,0.01108455,,,0.1662148,,,,0.4364344,,,,,,,0.2,,0.08513201,,0.2592845,,,0.1947673,0.205744,,0.1053442,,0.5210401,,,,,,0.4100024,0.3396496,0.003942343,,,,,,,,,0.03452073,,,,,,,,,,,,,,,,,,,,,,,,
pcod_juv,,0.006938967,,,0.04067812,,0.007121056,0.007121056,0.0049334,0.000258593,0.1888303,0.009733706,0.000111195,0.01276583,0.007543092,,,0.000304776,,0.000405023,,,2.50E-06,,,,,1.14E-05,1.74E-05,0.000085446,,,0.000266833,0.000465126,,,,,,,,,,0.01986001,4.24E-06,,,,,,,,,,,,,,,,,,,,,,,,
pcod_adu,,0.01258292,,,,,,,,,,,,,,,,0.000672848,,0.00536709,,,1.21E-06,,,0.001248083,,0.04737715,,,,,,0.005619881,,,,,,,,,,,0.000908861,,,,,,,,,,,,,,,,,,,,,,,,
herring,,0.001223442,,0.000426485,0.0246279,,0.06103762,0.06103762,0.0444006,0.0289077,4.29E-05,0.002530667,,,0.000931334,,,0.000895603,,0.002142512,,,0.01342997,,,0.01223129,,0.002626757,,,0.001536832,,,0.001682897,0.000270528,0.000741705,,,,,,,,,0.006707492,,,,,,,,,,,,,,,,,7.73E-05,,,,,,,
arrowtooth_juv,,5.66E-05,,,,,,,,,,,,,,,,,,0.000044498,,,0.003421103,1.20E-05,,,,,1.13E-06,,,,,,0.000127411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowtooth_adu,,0.000566239,,,,,,,,,,,,,,0.1201747,,0.000838499,,0.000677303,,,2.48E-06,,,,,0.000895311,,,,,,0.02313452,,,,,,,,,,,8.39E-05,,,,,,,,,,,,,,,,,,,,,,,,
kamchatka,,3.70E-05,,,,,,,,,,,,,,0.007135619,,1.69E-07,,6.47E-05,,,6.11E-06,,,,,,,,,,,,,,,,,,,,,,0.000274866,,,,,,,,,,,,,,,,,,,,,,,,
gr_turbot_juv,,2.09E-05,,,,,,,,,,,,,,,0.000103075,0.000136816,,6.12E-05,,,,,,,,,3.85E-05,3.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr_turbot_adu,,2.09E-04,,,,,,,,,,,,,,0.04445163,,3.10E-04,,3.40E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halibut_juv,,1.33E-05,,,3.00E-05,,,,,,,,,,,,,1.87E-06,,0.000140199,,0.000599666,,,,,,1.73E-06,0.000132271,,,0.000067773,,0.001175242,,,,,,,,,,,1.69E-06,,,,,,,,,,,,,,,,,,,,,,,,
